,Unnamed: 0,time,timer_time,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,1.0,1.0,1.0,1.6333333333333335,1.7,36.666666666666664,19.666666666666668,81.33333333333333,18.333333333333332,0.6666666666666666,0.2272727272727273,0.2285714285714285,51.21563533333333,-0.31943366666666667,21.0,55.0,54.42937785075716,3.9333333333333336,1.082626379273295,0.8071811838958604,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,0.7666666666666666,0.8071811838958602,0.3248725007,0.3628138940254222,0.5,0.5317359885184255
1,2.5,2.5,2.5,4.8999999999999995,4.7,102.5,9.833333333333334,83.83333333333333,34.166666666666664,1.2666666666666668,0.2272727272727273,0.2285714285714285,51.215607999999996,-0.31944666666666666,21.0,54.900000000000006,54.41535402252069,-0.7833333333333333,4.447161991734686,1.8586643514576167,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,1.8166666666666667,1.8586643514576162,1.60469029325,1.656277750301187,0.5833333333333334,0.5945233241298199
2,4.0,4.0,4.0,10.0,9.544444444444444,137.22222222222223,47.888888888888886,86.11111111111111,43.77777777777778,1.9777777777777779,0.22727272727272732,0.2285714285714285,51.215569888888886,-0.31948533333333334,21.0,54.733333333333334,54.398941418352855,-0.8999999999999999,9.584878810479385,2.7506800918039787,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,2.7222222222222223,2.750680091803978,3.4027303101000013,3.4377944303023247,0.5666666666666669,0.5649010155165826
3,5.5,5.5,5.5,16.466666666666665,15.775,124.91666666666667,40.833333333333336,88.5,45.416666666666664,2.7000000000000006,0.22727272727272738,0.22857142857142854,51.21552299999999,-0.3195390833333333,21.0,54.6,54.38511499200552,-1.0583333333333333,16.068599076250138,3.4211130423510396,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.4,3.4211130423510396,5.04226851865,5.067788558454702,0.4666666666666668,0.46719529661121345
4,7.0,7.0,7.0,23.7,22.89333333333333,99.93333333333334,51.46666666666667,90.06666666666666,36.333333333333336,3.2533333333333334,0.22421395840398498,0.22627912373526407,51.21547066666666,-0.3195998666666666,21.0,54.52000000000001,54.37419658843029,-0.6666666666666665,23.305491587273163,3.8447867073613464,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.8333333333333335,3.8447867073613464,6.124914558180001,6.125830726250564,0.35999999999999993,0.35342392665099426
5,8.5,8.5,8.5,31.099999999999998,30.305555555555557,94.0,62.0,90.66666666666667,36.27777777777778,3.5999999999999996,0.21951638361580475,0.22073488296434726,51.21541788888888,-0.3196638333333333,21.0,54.51111111111112,54.366353163977635,-0.3888888888888888,30.704748523225923,4.020321386913446,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.01111111111111,4.020321386913446,6.458105593500001,6.458429807579936,0.25,0.24870090291374997
6,10.0,10.0,10.0,38.352380952380955,37.51904761904762,109.80952380952381,55.38095238095238,90.9047619047619,40.42857142857143,3.766666666666667,0.21578885999744815,0.21560851617110788,51.21536566666666,-0.3197253333333333,21.0,54.4857142857143,54.359934402958324,-0.6380952380952379,37.94789521453148,4.099238130744233,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.095238095238095,4.099238130744233,6.5562257605428576,6.543967691243449,0.22857142857142843,0.2256180652069832
7,11.5,11.5,11.5,45.637499999999996,44.69166666666666,126.25,50.75,91.54166666666667,44.25,3.891666666666667,0.21323773640999844,0.21126944854879937,51.21531325,-0.3197874583333334,21.0,54.41666666666668,54.35382007762567,-0.7666666666666666,45.22901852247953,4.222683919390736,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.216666666666666,4.222683919390736,6.819512198950001,6.816983298508258,0.21666666666666679,0.21580138611768263
8,13.0,13.0,13.0,53.05555555555556,52.15925925925926,140.07407407407408,67.03703703703704,92.5925925925926,47.48148148148148,4.033333333333333,0.2114169205534194,0.20750725154741087,51.215259629629635,-0.31985029629629635,21.0,54.37777777777779,54.349918242865975,-0.19629629629629633,52.643085121864885,4.343970696037662,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.337037037037037,4.343970696037662,7.1143455468555565,7.117824169876244,0.1962962962962962,0.19860050632221699
9,14.5,14.5,14.5,60.59666666666667,60.14333333333333,151.2,95.43333333333334,93.96666666666667,50.1,4.163333333333333,0.20973100993956678,0.2038841962241788,51.21520540000001,-0.3199148000000001,21.0,54.46000000000001,54.35342041337953,0.44333333333333336,60.17992383466313,4.445862754639193,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.443333333333333,4.445862754639193,7.386521504670002,7.376195010489485,0.1800000000000002,0.17686458995075707
