,Unnamed: 0,time,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,1.0,1.0,5.266666666666667,5.066666666666666,223.0,135.33333333333334,102.0,30.0,1.0666666666666667,0.1787394167450612,0.17061611374407584,51.23057433333333,-0.334286,15.0,89.93333333333332,90.73214559386973,-4.233333333333333,3.0881865365339656,2.144355692895624,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,2.1333333333333333,2.144355692895624,2.338182704,2.359393750502587,1.2,1.2005248492572822
1,2.5,2.5,11.4,11.200000000000001,305.6666666666667,155.66666666666666,105.33333333333333,38.833333333333336,2.4166666666666665,0.17873941674506114,0.17061611374407584,51.230521833333334,-0.33429749999999997,15.0,89.83333333333333,90.7522279993669,-1.6166666666666665,9.221779417091815,3.3655175615271973,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,3.3666666666666667,3.3655175615271973,4.7584266279,4.749078785335025,0.8166666666666664,0.8047988901905144
2,4.0,4.0,18.58888888888889,18.56666666666667,325.22222222222223,126.55555555555556,108.55555555555556,45.111111111111114,3.233333333333333,0.17873941674506114,0.17061611374407584,51.23045944444444,-0.3343188888888889,15.0,89.88888888888889,90.77989377431766,-0.7666666666666665,16.448140014720707,4.06084582100412,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.044444444444444,4.06084582100412,6.459979137333335,6.514414443145211,0.6333333333333336,0.630294539377828
3,5.5,5.5,26.525000000000002,26.708333333333332,325.25,124.5,111.58333333333333,49.833333333333336,3.8249999999999997,0.17744786981830238,0.16898106793398346,51.23038925,-0.3343339166666666,15.0,89.95,90.81049086100649,-0.1583333333333332,24.411072308793834,4.525012234917706,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.508333333333333,4.525012234917706,7.7803591538750005,7.8389405051051,0.5,0.5030948881379995
4,7.0,7.0,35.03333333333333,35.626666666666665,326.0,147.8,114.6,53.4,4.2733333333333325,0.1739105229276999,0.16528928577679017,51.23031366666667,-0.33434959999999997,15.133333333333333,90.08,90.8439464491697,0.4400000000000001,32.939527636351926,4.899300174595512,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,4.886666666666667,4.899300174595512,8.987389768500002,9.031438700369414,0.426666666666667,0.42619664422949766
5,8.5,8.5,44.00555555555555,45.24444444444444,315.22222222222223,172.0,117.16666666666667,55.888888888888886,4.644444444444444,0.1698615220206605,0.16158373684912739,51.23023383333333,-0.33436599999999994,15.277777777777779,90.27777777777777,90.87936928940768,0.9611111111111114,41.92582004090286,5.185173063691395,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.177777777777778,5.185173063691395,9.963506105666669,9.986967468688668,0.3611111111111111,0.35569016320374264
6,10.0,10.0,53.24761904761904,55.15714285714286,307.5238095238095,176.8095238095238,119.28571428571429,57.714285714285715,4.928571428571428,0.16547416747750493,0.1578231022508629,51.230151428571425,-0.33438147619047615,15.380952380952381,90.5047619047619,90.91453161596556,1.0333333333333334,51.18271521618619,5.415745984553534,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.404761904761905,5.415745984553534,10.750662164785716,10.790532510902201,0.34285714285714297,0.33889599727502595
7,11.5,11.5,62.90416666666666,65.29166666666667,284.0416666666667,163.16666666666666,120.875,55.666666666666664,5.187499999999999,0.1608961729055445,0.1541709375680142,51.23006508333333,-0.33439362499999997,15.458333333333334,90.67500000000001,90.94583667295599,0.7458333333333335,60.85497666102001,5.670292856920573,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.658333333333334,5.670292856920573,11.736440635150002,11.783088841080952,0.3125,0.3151724979366162
8,13.0,13.0,73.1,75.72592592592592,275.14814814814815,146.55555555555554,122.03703703703704,59.074074074074076,5.477777777777778,0.15603146135065452,0.15033821590129537,51.22997377777778,-0.33440377777777774,15.518518518518519,90.74074074074075,90.96999471799057,0.38518518518518524,71.065259720688,5.9848735913479985,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,5.974074074074075,5.9848735913479985,13.145907660966667,13.188715780559981,0.3333333333333333,0.3345801712493184
9,14.5,14.5,84.04333333333332,86.8,267.8,146.96666666666667,122.96666666666667,62.36666666666667,5.816666666666666,0.15124309290099613,0.14638065723910723,51.229875766666666,-0.33441506666666665,15.566666666666666,90.74666666666668,90.9860304608371,0.2766666666666667,82.01858366200915,6.338984177047383,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,6.33,6.338984177047383,14.896359664450001,14.93021172549591,0.3199999999999998,0.3204107793605393
10,16.0,16.0,95.66060606060607,98.48181818181818,260.3333333333333,144.15151515151516,123.75757575757575,65.48484848484848,6.166666666666667,0.1468369668024361,0.14258587644343393,51.22977175757576,-0.3344279090909091,15.606060606060606,90.73333333333335,90.99661236485034,0.13030303030303036,93.6408003718735,6.663201525246253,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,6.657575757575758,6.663201525246253,16.568088762500008,16.581629011669264,0.30606060606060587,0.30490609741604424
