,time,timer_time,moving,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
0,0,0,  false,0.6,0.6,    22,0,80,32,0.0,0.2272727272727273,0.22857142857142854,51.215644,-0.31944,21,54.6,54.42666666666667,9.1,0.0,0.0,50,60,70,80,90,100,110,120,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,   true,1.4,1.5,    44,0,81,0,0.8,0.2272727272727273,0.22857142857142854,51.215638,-0.31943299999999997,21,55.2,54.43402298850575,2.7,0.8263355861323043,0.8263355861323043,50,60,70,80,90,100,110,120,0.7999999999999999,0.8263355861323043,0.2158322496,0.23027631735406573,0.7999999999999999,0.8263355861323043
2,2,2,   true,2.9,3.0,    44,59,83,23,1.2,0.2272727272727273,0.22857142857142854,51.215624,-0.31942800000000005,21,55.2,54.42744389709907,0.0,2.4215435516875807,1.5952079655552767,50,60,70,80,90,100,110,120,1.5,1.5952079655552764,0.7587852525000001,0.858165364722201,0.7000000000000001,0.7688723794229722
3,3,3,   true,5.0,4.8,   131,0,85,42,1.5,0.2272727272727273,0.22857142857142854,51.215604,-0.31943499999999997,21,55.0,54.415027367268756,-5.9,4.698260539875755,2.2767169881881744,50,60,70,80,90,100,110,120,2.1,2.2767169881881744,1.4872190949000001,1.7480524509303788,0.6000000000000001,0.6815090226328979
4,4,4,   true,8.0,7.5,   168,0,86,51,1.9,0.2272727272727273,0.22857142857142854,51.215582,-0.319457,21,54.8,54.40125266304578,-7.9,7.584846163966779,2.886585624091024,50,60,70,80,90,100,110,120,3.0,2.8865856240910235,3.0351410100000003,2.8099930915365188,0.8999999999999999,0.6098686359028491
5,5,5,   true,11.5,10.8,   206,0,88,57,2.2,0.2272727272727273,0.22857142857142854,51.215556,-0.31948699999999997,21,54.6,54.387710552538145,-2.7,11.151986108745698,3.567139944778919,50,60,70,80,90,100,110,120,3.5,3.567139944778919,4.1311641525,4.291179277263957,0.5,0.6805543206878957
6,6,6,   true,15.5,14.6,   241,0,89,64,2.8,0.2272727272727273,0.22857142857142854,51.215527,-0.319521,21,54.2,54.373989997413645,-2.3,15.15280483108398,4.000818722338283,50,60,70,80,90,100,110,120,4.0,4.000818722338282,5.395806240000001,5.3980152996035375,0.5,0.4336787775593631
7,7,7,   true,20.0,19.0,   185,372,91,54,3.4,0.2272727272727273,0.22857142857142854,51.215495000000004,-0.31956100000000004,21,54.6,54.36637168251955,-1.1,19.67201168658656,4.519206855502582,50,60,70,80,90,100,110,120,4.5,4.519206855502581,6.829067272500001,6.887487195478961,0.5,0.518388133164299
8,8,8,   true,25.1,24.1,   194,0,92,71,4.0,0.2272727272727273,0.22857142857142854,51.215459,-0.319606,21,54.4,54.35798695011839,0.0,24.756120826235804,5.084109139649242,50,60,70,80,90,100,110,120,5.100000000000001,5.084109139649243,8.771557518900007,8.716980875831304,0.6000000000000014,0.5649022841466618
9,9,9,   true,30.4,29.1,   126,59,94,75,4.5,0.2272727272727273,0.22857142857142854,51.215421,-0.319652,21,54.4,54.350759683677985,-2.8,30.058910163596806,5.302789337361,50,60,70,80,90,100,110,120,5.299999999999997,5.302789337361002,9.47301233009999,9.482986058555563,0.19999999999999574,0.21868019771175895
10,10,10,   true,35.8,34.4,   138,0,96,76,4.9,0.2272727272727273,0.22857142857142854,51.215383,-0.3197,21,54.2,54.34341789425271,-0.9,35.44701294887791,5.388102785281106,50,60,70,80,90,100,110,120,5.399999999999999,5.388102785281106,9.833856872399997,9.790572937147116,0.10000000000000142,0.08531344792010387
11,11,11,   true,41.4,39.9,     0,0,97,0,5.2,0.2272727272727273,0.22857142857142854,51.215343,-0.319749,21,54.0,54.33672956095973,-0.9,41.053356508212474,5.606343559334563,50,60,70,80,90,100,110,120,5.600000000000001,5.606343559334562,10.575780230400007,10.599753833032814,0.20000000000000284,0.21824077405345577
12,12,12,   true,47.1,45.6,     0,211,97,0,5.4,0.2191235059760956,0.22857142857142854,51.215301000000004,-0.319795,21,54.2,54.33304950926197,0.0,46.71694257302038,5.66358606480791,50,60,70,80,90,100,110,120,5.700000000000003,5.663586064807909,10.956859046100012,10.817312406155123,0.10000000000000142,0.057242505473347194
13,13,13,   true,52.7,51.5,     0,41,96,0,5.5,0.21113243761996164,0.21442495126705652,51.21526,-0.319843,21,54.2,54.330268661961746,1.8,52.370441710655285,5.653499137634901,50,60,70,80,90,100,110,120,5.600000000000001,5.653499137634903,10.575780230400007,10.77881514491245,-0.10000000000000142,-0.010086927173006188
14,14,14,   true,58.1,57.0,     0,30,96,0,5.5,0.20568070519098924,0.20833333333333331,51.215222999999995,-0.319891,21,54.2,54.32825075116429,0.9,57.6718006104202,5.301358899764912,50,60,70,80,90,100,110,120,5.399999999999999,5.301358899764914,9.833856872399997,9.477870641234453,-0.20000000000000284,-0.35214023786998894
15,15,15,   true,63.2,62.4,     0,168,95,0,5.5,0.19821605550049556,0.19821605550049556,51.215188,-0.31994,21,54.4,54.32773507921653,2.0,62.84814593253266,5.176345322112458,50,60,70,80,90,100,110,120,5.100000000000001,5.176345322112461,8.771557518900007,9.036137806907739,-0.29999999999999716,-0.12501357765245302
16,16,16,   true,68.3,67.6,     0,40,94,50,5.4,0.19569471624266144,0.19267822736030826,51.215153,-0.319986,21,54.4,54.32694394010294,1.0,67.88916871199453,5.041022779461871,50,60,70,80,90,100,110,120,5.099999999999994,5.041022779461869,8.77155751889998,8.569859132876653,-7.105427357601002e-15,-0.13532254265059152
17,17,17,   true,72.8,72.1,   193,136,92,58,5.1,0.1941747572815534,0.18814675446848544,51.215121,-0.320025,21,54.6,54.326729105823716,0.0,72.36578496444203,4.476616252447494,50,60,70,80,90,100,110,120,4.5,4.476616252447499,6.829067272500001,6.758278702896002,-0.5999999999999943,-0.5644065270143699
18,18,18,   true,77.2,76.4,   206,0,92,63,4.9,0.19342359767891684,0.18774703557312253,51.215087,-0.320058,21,54.4,54.32444511779792,-1.1,76.79030396518343,4.4245190007414035,50,60,70,80,90,100,110,120,4.400000000000006,4.424519000741398,6.528925550400017,6.601893169005403,-0.09999999999999432,-0.05209725170610113
19,19,19,   true,81.8,80.7,   191,47,92,66,4.7,0.1932367149758454,0.1842870999030068,51.215052,-0.320092,21,54.4,54.32185922554439,-3.2,81.34602137628224,4.555717411098818,50,60,70,80,90,100,110,120,4.599999999999994,4.5557174110988115,7.135953752399983,6.999224403286012,0.19999999999998863,0.1311984103574133
20,20,20,   true,86.6,85.3,   217,0,93,67,4.7,0.1936108422071636,0.18251681075888568,51.215018,-0.320133,21,54.2,54.31796116718513,-2.1,86.08400074562888,4.737979369346649,50,60,70,80,90,100,110,120,4.799999999999997,4.737979369346647,7.769960985599992,7.570467407382151,0.20000000000000284,0.1822619582478353
21,21,21,   true,91.5,89.9,   237,0,94,70,4.6,0.1943634596695821,0.18147086914995225,51.214983000000004,-0.320178,21,54.0,54.31360939695954,-3.0,91.0810501704168,4.9970494247879245,50,60,70,80,90,100,110,120,4.900000000000006,4.997049424787917,8.09708173890002,8.420999728369262,0.10000000000000853,0.2590700554412706
22,22,22,   true,96.6,94.8,   246,55,96,71,4.8,0.1953125,0.1807802093244529,51.214946999999995,-0.320223,21,54.0,54.310843771004784,-2.0,96.16518079855328,5.0841306281364735,50,60,70,80,90,100,110,120,5.099999999999994,5.084130628136478,8.77155751889998,8.717054562340772,0.19999999999998863,0.08708120334856062
23,23,23,   true,101.8,100.0,   241,0,98,72,4.9,0.19646365422396855,0.18043684710351374,51.214909000000006,-0.320266,21,53.8,54.30860623292719,0.0,101.34441406537766,5.17923326682439,50,60,70,80,90,100,110,120,5.200000000000003,5.179233266824383,9.118912545600011,9.04622335737575,0.10000000000000853,0.09510263868790503
24,24,24,   true,107.1,105.6,   244,51,100,73,5.1,0.19685039370078736,0.17910447761194032,51.21487,-0.32031,21,53.8,54.30959531694343,1.9,106.6546498355092,5.310235770131538,50,60,70,80,90,100,110,120,5.299999999999997,5.310235770131541,9.47301233009999,9.509637691777536,0.09999999999999432,0.13100250330715824
25,25,25,   true,112.4,111.7,   259,195,100,73,5.2,0.19685039370078736,0.17751479289940827,51.214831,-0.320353,21,54.0,54.316149343214846,4.7,111.924995122317,5.270345286807791,50,60,70,80,90,100,110,120,5.300000000000011,5.270345286807796,9.473012330100042,9.3673015529816,1.4210854715202004e-14,-0.03989048332374523
26,26,26,   true,117.7,118.4,   249,346,103,74,5.2,0.19685039370078736,0.17560975609756094,51.214791,-0.320396,21,54.4,54.33036603420689,6.5,117.28720879301686,5.362213670699859,50,60,70,80,90,100,110,120,5.299999999999997,5.362213670699859,9.47301233009999,9.696714177701292,-1.4210854715202004e-14,0.09186838389206287
27,27,27,   true,123.0,125.3,   257,346,105,74,5.3,0.1958863858961802,0.17341040462427748,51.214754,-0.320444,21,54.8,54.35190058060426,7.4,122.58858916971303,5.301380376696173,50,60,70,80,90,100,110,120,5.299999999999997,5.301380376696173,9.47301233009999,9.477947435125385,0.0,-0.06083329400368598
28,28,28,   true,128.5,132.2,   248,366,106,74,5.3,0.19436345966958213,0.17126546146527116,51.214717,-0.320496,21,55.2,54.381145388169635,6.5,128.06994494065307,5.481355770940053,50,60,70,80,90,100,110,120,5.5,5.481355770940041,10.2014461725,10.132400453687298,0.20000000000000284,0.17997539424386844
29,29,29,   true,133.9,138.5,   249,341,108,73,5.4,0.19342359767891684,0.16915422885572134,51.214681,-0.320546,21,55.6,54.421773875230635,4.7,133.37588263917579,5.305937698522721,50,60,70,80,90,100,110,120,5.400000000000006,5.305937698522712,9.833856872400021,9.494249839213303,-0.09999999999999432,-0.17541807241732954
